catboost_weight,xgboost_weight,tabm_weight,validation_pr_auc,validation_roc_auc
0.05,0.3,0.6499999999999999,0.17127791267934897,0.6481841942572427
0.2,0.15000000000000002,0.65,0.17123891228938581,0.6489041812806434
0.4,0.0,0.6,0.17120168413673895,0.6504693305421403
0.25,0.1,0.65,0.1711594556585724,0.6490425167257347
0.30000000000000004,0.049999999999999996,0.6499999999999999,0.1709500780535216,0.6491892685972419
1.0,0.0,0.0,0.17075945418768573,0.6561453685170564
0.35000000000000003,0.0,0.6499999999999999,0.17075914914101165,0.6493066394892606
0.1,0.2,0.7,0.17051921707023482,0.6473694841801788
0.15000000000000002,0.15,0.7,0.17050260439776002,0.6475797418146427
0.05,0.24999999999999997,0.7,0.17036448476582514,0.6470366527719118
0.25,0.05,0.7,0.1703595721988963,0.6479124201969749
0.0,0.30000000000000004,0.7,0.1703355881799518,0.6467442202104413
0.2,0.1,0.7000000000000001,0.17025423803262393,0.6477257285564757
0.30000000000000004,0.0,0.7,0.1701640743509649,0.6480411150081715
0.1,0.15000000000000002,0.75,0.169596283151411,0.6461339527823176
0.05,0.19999999999999998,0.75,0.1694290357801484,0.6458643210851376
0.25,0.0,0.75,0.16922047890307867,0.6467198890868024
0.15000000000000002,0.09999999999999999,0.75,0.16916353449075278,0.6463402317424757
0.0,0.25,0.75,0.1690666174478287,0.6455249095616725
0.2,0.05,0.75,0.16905281506617917,0.6465347277056515
0.2,0.0,0.8,0.16834808779329147,0.6453045522155095
0.15000000000000002,0.049999999999999996,0.7999999999999999,0.168229121048171,0.6451304087016667
0.1,0.1,0.8,0.16816250196588672,0.6449031651884362
0.0,0.2,0.8,0.16799517233624642,0.6442991718236406
0.05,0.15,0.7999999999999999,0.16797664553539246,0.6446173127421635
0.15000000000000002,0.0,0.85,0.16734283961266433,0.6438705461801666
0.1,0.05,0.85,0.16727511052031316,0.6436455980559584
0.05,0.09999999999999999,0.85,0.16701870649889972,0.6434194257242717
0.0,0.15000000000000002,0.85,0.16687919289883935,0.6430885836531575
0.1,0.0,0.9,0.16628819079119914,0.6424223087328841
0.0,0.1,0.9,0.16614325350431636,0.641836525454334
0.05,0.049999999999999996,0.8999999999999999,0.16612479847543232,0.6421337018197845
0.05,0.0,0.95,0.16529052286528684,0.6409307649460431
0.0,0.05,0.95,0.16515871045468686,0.6406317522693746
0.0,0.0,1.0,0.16401625325047892,0.6394315698624602
